lang_name,count,year
English,605,1852
German,826,1852
Latin,802,1852
Norse,27,1852
Greek,128,1852
Itali,131,1852
Anglo-Norman,139,1852
French,243,1852
Classical Nahuatl,3,1852
Spanish,15,1852
Ojibwe,2,1852
Lombardic,3,1852
Arabic,12,1852
Old Tupi,1,1852
Sumerian,2,1852
Seneca,1,1852
Dutch,26,1852
Khoekhoe,1,1852
Celtic,23,1852
Persian,7,1852
Hebrew,25,1852
Nahuatl,1,1852
Iranian,3,1852
Choctaw,1,1852
Scots,1,1852
Russian,2,1852
Akkadian,2,1852
Gaelic,2,1852
Aramaic,1,1852
Irish,13,1852
Proto-Brythonic,2,1852
Swedish,2,1852
Taíno,3,1852
Proto-Hellenic,8,1852
Frankish,14,1852
Saxon,3,1852
Sanskrit,2,1852
Laurentian,1,1852
Ute,1,1852
Slavic,1,1852
Old Breton,1,1852
Algonquin,2,1852
Lakota,1,1852
Miami,1,1852
Semitic,2,1852
Proto-Sino-Tibetan,2,1852
Portuguese,5,1852
Hawaiian,2,1852
Lower Sorbian,1,1852
Etruscan,2,1852
Caribbean Hindustani,1,1852
Gaulish,1,1852
Basque,1,1852
Dakota,1,1852
Danish,1,1852
Cornish,1,1852
Breton,1,1852
Moore,1,1852
Old Occitan,1,1852
Wyandot,1,1852
Quechua,1,1852
Proto-Ugric,1,1852
Japanese,1,1852
Mohegan-Pequot,1,1852
Potawatomi,1,1852
Ottoman Turkish,1,1852
Avar,1,1852
Hindi,1,1852
Vietnamese,1,1852
Ancient Ligurian,1,1852
Polish,1,1852
Oscan,1,1852
Min Nan,1,1852
English,871,1853
German,1122,1853
Latin,1104,1853
Norse,50,1853
Greek,192,1853
Itali,202,1853
Anglo-Norman,203,1853
Classical Nahuatl,2,1853
Old Tupi,1,1853
French,344,1853
Celtic,31,1853
Arabic,24,1853
Dutch,26,1853
Khoekhoe,1,1853
Spanish,24,1853
Scots,4,1853
Seneca,1,1853
Taíno,4,1853
Persian,5,1853
Ojibwe,4,1853
Nahuatl,1,1853
Miami,1,1853
Iranian,4,1853
Sumerian,5,1853
Russian,3,1853
Portuguese,6,1853
Proto-Hellenic,20,1853
Hebrew,37,1853
Lakota,2,1853
Choctaw,1,1853
Algonquin,2,1853
Frankish,22,1853
Swedish,2,1853
Opata,1,1853
Irish,11,1853
Sanskrit,8,1853
Laurentian,1,1853
Saxon,5,1853
Punic,1,1853
Aramaic,2,1853
Welsh,2,1853
Proto-Brythonic,2,1853
Dakota,1,1853
Quechua,3,1853
Japanese,7,1853
Caddo,1,1853
Proto-Turkic,4,1853
Moore,1,1853
Potawatomi,1,1853
Chinese,4,1853
Lombardic,3,1853
Old Welsh,1,1853
Akkadian,2,1853
Caribbean Hindustani,1,1853
Gaelic,2,1853
Balti,1,1853
Mohegan-Pequot,1,1853
Purepecha,1,1853
Etruscan,2,1853
Menominee,1,1853
Phoenician,3,1853
Hindi,1,1853
Romani,1,1853
Ottoman Turkish,1,1853
Egyptian,1,1853
Mohawk,1,1853
Urartian,1,1853
Lombard,1,1853
Vietnamese,1,1853
Coptic,1,1853
Breton,1,1853
Danish,3,1853
Thai,1,1853
Mandingo,1,1853
Norman,1,1853
Czech,1,1853
Gaulish,1,1853
Mi'kmaq,1,1853
Malay,2,1853
Shawnee,1,1853
Semitic,2,1853
Oscan,1,1853
Burmese,2,1853
Cornish,1,1853
Icelandic,1,1853
Navajo,1,1853
Yiddish,1,1853
Proto-Algonquian,1,1853
Chibcha,1,1853
Mandarin,2,1853
Old Occitan,1,1853
Proto-Sino-Tibetan,1,1853
Venetian,1,1853
Catawba,1,1853
Polish,1,1853
Hawaiian,1,1853
Livonian,1,1853
Bengali,1,1853
Proto-Austronesian,1,1853
Min Nan,1,1853
English,800,1854
German,1055,1854
Norse,41,1854
Latin,1004,1854
Greek,154,1854
Anglo-Norman,178,1854
Itali,186,1854
Khoekhoe,1,1854
Arabic,18,1854
French,297,1854
Omaha-Ponca,1,1854
Old Tupi,1,1854
Celtic,30,1854
Seneca,1,1854
Classical Nahuatl,1,1854
Sumerian,6,1854
Dutch,28,1854
Iranian,5,1854
Spanish,14,1854
Chinese,5,1854
Laurentian,2,1854
Miami,1,1854
Swedish,2,1854
Scots,1,1854
Nahuatl,1,1854
Hebrew,24,1854
Persian,5,1854
Taíno,3,1854
Akkadian,3,1854
Ojibwe,1,1854
Moore,1,1854
Proto-Turkic,2,1854
Opata,2,1854
Gaelic,4,1854
Saxon,3,1854
Japanese,3,1854
Proto-Hellenic,22,1854
Frankish,21,1854
Cornish,1,1854
Hittite,1,1854
Algonquin,3,1854
Sanskrit,7,1854
Proto-Brythonic,5,1854
Old Welsh,2,1854
Lombardic,2,1854
Russian,2,1854
Quechua,3,1854
Potawatomi,1,1854
Urartian,1,1854
Aramaic,1,1854
Hindi,3,1854
Irish,11,1854
Proto-Austronesian,1,1854
Choctaw,1,1854
Oscan,1,1854
Mandarin,1,1854
Czech,1,1854
Welsh,3,1854
Vietnamese,1,1854
Bengali,1,1854
Caribbean Hindustani,1,1854
Danish,4,1854
Kongo,1,1854
Slavic,2,1854
Catawba,1,1854
Mundari,1,1854
Menominee,1,1854
Romanian,1,1854
Unami,2,1854
Punic,1,1854
Narragansett,1,1854
Phoenician,1,1854
Proto-Ugric,1,1854
Provençal,1,1854
Tamil,1,1854
Proto-Malayo-Polynesian,2,1854
Portuguese,1,1854
Min Nan,1,1854
Urdu,1,1854
Onondaga,1,1854
Caddo,1,1854
Egyptian,1,1854
Ute,1,1854
Dakota,1,1854
Burmese,1,1854
Serbo-Croatian,1,1854
Basque,1,1854
Azerbaijani,1,1854
English,809,1855
German,1072,1855
Norse,43,1855
Latin,1035,1855
Greek,151,1855
Itali,205,1855
Arabic,12,1855
Dutch,28,1855
French,325,1855
Anglo-Norman,194,1855
Old Tupi,1,1855
Celtic,37,1855
Cornish,1,1855
Spanish,16,1855
Khoekhoe,1,1855
Laurentian,2,1855
Seneca,1,1855
Hindi,1,1855
Dakota,1,1855
Persian,5,1855
Scots,3,1855
Miami,2,1855
Chinese,4,1855
Hebrew,27,1855
Irish,10,1855
Sumerian,6,1855
Proto-Hellenic,18,1855
Phoenician,3,1855
Ute,1,1855
Iranian,7,1855
Classical Nahuatl,3,1855
Swedish,1,1855
Potawatomi,1,1855
Mandarin,2,1855
Saxon,3,1855
Akkadian,2,1855
Lakota,1,1855
Omaha-Ponca,1,1855
Moore,1,1855
Oscan,1,1855
Russian,4,1855
Portuguese,4,1855
Elamite,1,1855
Frankish,21,1855
Gaelic,4,1855
Norman,1,1855
