count,lang,rel_lang,rel_type
8280,English,Ancient Greek,derived_from
6343,English,Ancient Greek,etymologically_related_to
1025,English,Ancient Greek,borrowed_from
16,English,Ancient Greek,has_prefix
38,English,Ancient Greek,has_prefix_with_root
322,English,Ancient Greek,has_affix
87,English,Ancient Greek,compound_of
2,English,Ancient Greek,orthographic_borrowing_from
26,English,Ancient Greek,calque_of
36,English,Ancient Greek,learned_borrowing_from
23,English,Ancient Greek,has_suffix
1,English,Ancient Greek,unadapted_borrowing_from
1,English,Ancient Greek,semantic_loan_of
9,English,Ancient Greek,has_confix
5728,English,English,doublet_with
40994,English,English,etymologically_related_to
806,English,English,clipping_of
42403,English,English,has_affix
203007,English,English,has_prefix_with_root
107530,English,English,has_suffix
19562,English,English,has_confix
11206,English,English,blend_of
100157,English,English,has_prefix
573,English,English,back-formation_from
48604,English,English,compound_of
636,English,English,named_after
167,English,English,derived_from
11,English,English,borrowed_from
7254,English,Proto-Indo-European,has_root
439,English,Proto-Indo-European,inherited_from
1156,English,Proto-Indo-European,etymologically_related_to
3657,English,Proto-Indo-European,derived_from
3,English,Proto-Indo-European,has_affix
2,English,Proto-Indo-European,compound_of
2,English,Proto-Indo-European,learned_borrowing_from
2346,English,French,etymologically_related_to
4498,English,French,borrowed_from
3531,English,French,derived_from
109,English,French,calque_of
4,English,French,has_confix
14,English,French,has_suffix
35,English,French,has_affix
7,English,French,compound_of
10,English,French,has_prefix_with_root
1,English,French,back-formation_from
1,English,French,named_after
3,English,French,learned_borrowing_from
1,English,French,semantic_loan_of
9,English,French,unadapted_borrowing_from
2,English,French,blend_of
1,English,French,has_prefix
264,English,New Latin,borrowed_from
206,English,New Latin,derived_from
3,English,New Latin,calque_of
8,English,New Latin,learned_borrowing_from
15,English,New Latin,unadapted_borrowing_from
1,English,New Latin,etymologically_related_to
10,English,Koine Greek,etymologically_related_to
11,English,Koine Greek,borrowed_from
55,English,Koine Greek,derived_from
2,English,Koine Greek,calque_of
181,English,Medieval Latin,borrowed_from
935,English,Medieval Latin,derived_from
10,English,Medieval Latin,etymologically_related_to
1,English,Medieval Latin,unadapted_borrowing_from
2,English,Medieval Latin,inherited_from
3,English,Medieval Latin,learned_borrowing_from
1,English,Medieval Latin,calque_of
17655,English,Latin,etymologically_related_to
3503,English,Latin,borrowed_from
18151,English,Latin,derived_from
73,English,Latin,compound_of
101,English,Latin,learned_borrowing_from
53,English,Latin,has_prefix
96,English,Latin,has_prefix_with_root
364,English,Latin,has_affix
53,English,Latin,has_suffix
35,English,Latin,unadapted_borrowing_from
86,English,Latin,calque_of
6,English,Latin,inherited_from
4,English,Latin,blend_of
12,English,Latin,has_confix
47,English,Latin,clipping_of
1,English,Latin,semantic_loan_of
12125,English,Middle English,etymologically_related_to
14688,English,Middle English,inherited_from
1072,English,Middle English,derived_from
26,English,Middle English,has_affix
5,English,Middle English,has_prefix_with_root
5,English,Middle English,has_suffix
10,English,Middle English,borrowed_from
1,English,Middle English,doublet_with
15,English,Middle English,compound_of
2,English,Middle English,blend_of
1,English,Middle English,clipping_of
3,English,Middle English,learned_borrowing_from
4,English,Middle English,calque_of
1,English,Middle English,has_prefix
4699,English,Old English,etymologically_related_to
6233,English,Old English,inherited_from
1239,English,Old English,derived_from
31,English,Old English,has_affix
9,English,Old English,has_suffix
110,English,Old English,compound_of
2,English,Old English,has_confix
48,English,Old English,learned_borrowing_from
5,English,Old English,has_prefix
12,English,Old English,has_prefix_with_root
5,English,Old English,borrowed_from
11,English,Old English,calque_of
1,English,Old English,semi_learned_borrowing_from
2932,English,Proto-Germanic,inherited_from
1830,English,Proto-Germanic,derived_from
1274,English,Proto-Germanic,etymologically_related_to
3,English,Proto-Germanic,has_prefix_with_root
2,English,Proto-Germanic,has_suffix
26,English,Proto-Germanic,compound_of
1,English,Proto-Germanic,has_prefix
4,English,Proto-Germanic,has_affix
3,English,Proto-Germanic,borrowed_from
1152,English,Late Latin,derived_from
248,English,Late Latin,borrowed_from
25,English,Late Latin,etymologically_related_to
5,English,Late Latin,inherited_from
11,English,Late Latin,learned_borrowing_from
2,English,Late Latin,unadapted_borrowing_from
3,English,Late Latin,calque_of
435,English,Arabic,etymologically_related_to
758,English,Arabic,borrowed_from
983,English,Arabic,derived_from
28,English,Arabic,calque_of
9,English,Arabic,unadapted_borrowing_from
78,English,Egyptian,derived_from
44,English,Egyptian,borrowed_from
49,English,Egyptian,etymologically_related_to
5,English,Egyptian,calque_of
2,English,Northern Sami,etymologically_related_to
4,English,Northern Sami,derived_from
2,English,Northern Sami,borrowed_from
2,English,Northern Sami,compound_of
43,English,Hungarian,etymologically_related_to
107,English,Hungarian,borrowed_from
6,English,Hungarian,compound_of
41,English,Hungarian,derived_from
7,English,Hungarian,calque_of
2,English,Hungarian,blend_of
2,English,Hungarian,has_affix
3,English,Proto-Uralic,derived_from
76,English,North Frisian,etymologically_related_to
2,English,North Frisian,derived_from
1,English,North Frisian,borrowed_from
107,English,German Low German,etymologically_related_to
4,English,German Low German,derived_from
1,English,German Low German,borrowed_from
1059,English,Proto-West Germanic,inherited_from
218,English,Proto-West Germanic,derived_from
111,English,Proto-West Germanic,etymologically_related_to
4,English,Proto-West Germanic,has_affix
5920,English,Old French,derived_from
3340,English,Old French,etymologically_related_to
30,English,Old French,borrowed_from
8,English,Old French,has_affix
11,English,Old French,has_prefix_with_root
7,English,Old French,has_suffix
5,English,Old French,has_prefix
4,English,Old French,calque_of
2,English,Old French,inherited_from
6,English,Old French,compound_of
124,English,Hindi,etymologically_related_to
220,English,Hindi,derived_from
507,English,Hindi,borrowed_from
12,English,Hindi,compound_of
403,English,Sanskrit,etymologically_related_to
773,English,Sanskrit,derived_from
417,English,Sanskrit,borrowed_from
16,English,Sanskrit,compound_of
14,English,Sanskrit,learned_borrowing_from
10,English,Sanskrit,calque_of
4,English,Sanskrit,has_affix
2,English,Sanskrit,has_root
1,English,Sanskrit,has_prefix_with_root
1,English,Sanskrit,has_suffix
1,English,Sanskrit,unadapted_borrowing_from
1694,English,Middle French,derived_from
375,English,Middle French,etymologically_related_to
673,English,Middle French,borrowed_from
1,English,Middle French,inherited_from
5,English,Middle French,calque_of
2,English,Middle French,has_affix
1,English,Proto-Berber,derived_from
1074,English,Translingual,etymologically_related_to
203,English,Translingual,derived_from
34,English,Translingual,borrowed_from
