count,lang,rel_type,rel_lang
8280,English,derived_from,Ancient Greek
56,English,derived_from,Koine Greek
18152,English,derived_from,Latin
1153,English,derived_from,Late Latin
1830,English,derived_from,Proto-Germanic
3657,English,derived_from,Proto-Indo-European
5920,English,derived_from,Old French
774,English,derived_from,Sanskrit
2,English,derived_from,Proto-Berber
78,English,derived_from,Egyptian
961,English,derived_from,Anglo-Norman
1072,English,derived_from,Middle English
1694,English,derived_from,Middle French
377,English,derived_from,Frankish
12,English,derived_from,Etruscan
3531,English,derived_from,French
983,English,derived_from,Old Norse
57,English,derived_from,Danish
218,English,derived_from,Proto-West Germanic
935,English,derived_from,Medieval Latin
179,English,derived_from,Middle Low German
31,English,derived_from,Old Saxon
1239,English,derived_from,Old English
371,English,derived_from,Middle Dutch
109,English,derived_from,Malay
65,English,derived_from,Biblical Hebrew
1,English,derived_from,Southern Ohlone
57,English,derived_from,Aramaic
41,English,derived_from,Ecclesiastical Latin
21,English,derived_from,Proto-Semitic
206,English,derived_from,New Latin
96,English,derived_from,Old Northern French
983,English,derived_from,Arabic
9,English,derived_from,Akan
160,English,derived_from,Old High German
308,English,derived_from,Japanese
251,English,derived_from,Portuguese
51,English,derived_from,Old Tupi
36,English,derived_from,Occitan
832,English,derived_from,Italian
386,English,derived_from,Vulgar Latin
63,English,derived_from,Old Occitan
31,English,derived_from,Old Italian
416,English,derived_from,Persian
87,English,derived_from,Old Irish
213,English,derived_from,Proto-Celtic
75,English,derived_from,Classical Nahuatl
31,English,derived_from,Cantonese
14,English,derived_from,Min Nan
39,English,derived_from,Proto-Brythonic
1201,English,derived_from,German
34,English,derived_from,Old Latin
584,English,derived_from,Hebrew
261,English,derived_from,Scottish Gaelic
11,English,derived_from,Provençal
75,English,derived_from,Old Dutch
192,English,derived_from,Chinese
433,English,derived_from,Dutch
131,English,derived_from,Proto-Slavic
1,English,derived_from,Old Lithuanian
25,English,derived_from,Phoenician
660,English,derived_from,Spanish
5,English,derived_from,Algerian Arabic
316,English,derived_from,Polish
12,English,derived_from,Lombardic
220,English,derived_from,Hindi
37,English,derived_from,Nahuatl
44,English,derived_from,Old Persian
9,English,derived_from,Kimbundu
73,English,derived_from,Byzantine Greek
14,English,derived_from,Classical Persian
107,English,derived_from,Basque
26,English,derived_from,Taíno
28,English,derived_from,Tibetan
1,English,derived_from,Mopan Maya
50,English,derived_from,Quechua
19,English,derived_from,Mapudungun
1,English,derived_from,Laurentian
55,English,derived_from,Middle Persian
2,English,derived_from,aa
1,English,derived_from,Soninke
3,English,derived_from,Oscan
18,English,derived_from,Khmer
1,English,derived_from,Kikuyu
35,English,derived_from,Proto-Indo-Iranian
167,English,derived_from,English
1,English,derived_from,Proto-West Semitic
13,English,derived_from,Lao
134,English,derived_from,Middle High German
2,English,derived_from,Bambara
5,English,derived_from,Chichewa
1,English,derived_from,Nauruan
12,English,derived_from,Guaraní
18,English,derived_from,Romanian
50,English,derived_from,Slovak
58,English,derived_from,Akkadian
3,English,derived_from,Ewe
25,English,derived_from,Thai
4,English,derived_from,Tongan
4,English,derived_from,Samoan
424,English,derived_from,Russian
145,English,derived_from,Ukrainian
22,English,derived_from,Old East Slavic
20,English,derived_from,Swahili
5,English,derived_from,Luganda
4,English,derived_from,Shona
1,English,derived_from,Isekiri
9,English,derived_from,Yoruba
3,English,derived_from,Turkmen
2,English,derived_from,Bactrian
1,English,derived_from,Palauan
3,English,derived_from,Proto-Malayo-Polynesian
108,English,derived_from,Turkish
71,English,derived_from,Proto-Italic
9,English,derived_from,Kongo
1,English,derived_from,Chamorro
2,English,derived_from,Halkomelem
124,English,derived_from,Yiddish
1,English,derived_from,Siraya
181,English,derived_from,Welsh
20,English,derived_from,Catalan
110,English,derived_from,Greek
11,English,derived_from,Wolof
4,English,derived_from,Proto-Nahuan
26,English,derived_from,Slovene
49,English,derived_from,Cebuano
32,English,derived_from,Sumerian
14,English,derived_from,Proto-Polynesian
2,English,derived_from,Western Keres
7,English,derived_from,Old Frisian
119,English,derived_from,Czech
19,English,derived_from,Malayalam
4,English,derived_from,Attic Greek
11,English,derived_from,Powhatan
21,English,derived_from,Indonesian
9,English,derived_from,Old Portuguese
6,English,derived_from,Aymara
4,English,derived_from,Proto-Sino-Tibetan
1,English,derived_from,Volapük
19,English,derived_from,Hawaiian
12,English,derived_from,Renaissance Latin
28,English,derived_from,Old Spanish
7,English,derived_from,Algonquin
67,English,derived_from,Gaulish
119,English,derived_from,Ottoman Turkish
5,English,derived_from,Wyandot
6,English,derived_from,Yucatec Maya
4,English,derived_from,Demotic
15,English,derived_from,Maori
92,English,derived_from,Urdu
4,English,derived_from,Middle Scots
6,English,derived_from,Igbo
8,English,derived_from,Massachusett
20,English,derived_from,Proto-Algonquian
11,English,derived_from,Arawak
5,English,derived_from,Proto-Balto-Slavic
203,English,derived_from,Translingual
28,English,derived_from,Romani
4,English,derived_from,Brazilian Portuguese
4,English,derived_from,Proto-Arawak
65,English,derived_from,Serbo-Croatian
1,English,derived_from,zls
28,English,derived_from,Cree
20,English,derived_from,Inuktitut
22,English,derived_from,Classical Syriac
1,English,derived_from,Konkani
21,English,derived_from,Icelandic
1,English,derived_from,Dogrib
33,English,derived_from,Ojibwe
17,English,derived_from,Proto-Iranian
22,English,derived_from,Zulu
10,English,derived_from,Old Turkic
8,English,derived_from,Gujarati
14,English,derived_from,Marathi
16,English,derived_from,Bengali
10,English,derived_from,Yakut
126,English,derived_from,Scots
654,English,derived_from,Irish
2,English,derived_from,Kildin Sami
3,English,derived_from,Proto-Bantu
19,English,derived_from,Middle Irish
2,English,derived_from,Doric Greek
25,English,derived_from,Gothic
96,English,derived_from,Mandarin
4,English,derived_from,Ligurian
2,English,derived_from,Corsican
6,English,derived_from,Franco-Provençal
10,English,derived_from,West Flemish
55,English,derived_from,Norwegian
3,English,derived_from,Proto-Oceanic
4,English,derived_from,Mycenaean Greek
5,English,derived_from,Hittite
29,English,derived_from,Middle Chinese
13,English,derived_from,Andalusian Arabic
2,English,derived_from,Saterland Frisian
2,English,derived_from,Dutch Low Saxon
81,English,derived_from,Swedish
16,English,derived_from,Kannada
35,English,derived_from,Tamil
3,English,derived_from,Walloon
3,English,derived_from,Okinawan
89,English,derived_from,Afrikaans
2,English,derived_from,Proto-Nuclear Polynesian
2,English,derived_from,Proto-Inuit
3,English,derived_from,Proto-Eskimo
5,English,derived_from,Pennsylvania German
111,English,derived_from,Armenian
1,English,derived_from,Northern Ndebele
7,English,derived_from,Proto-Hellenic
36,English,derived_from,Korean
16,English,derived_from,Old Church Slavonic
23,English,derived_from,Tagalog
15,English,derived_from,Old Welsh
3,English,derived_from,Oriya
4,English,derived_from,Uzbek
6,English,derived_from,Kyrgyz
1,English,derived_from,Sogdian
10,English,derived_from,Proto-Indo-Aryan
7,English,derived_from,Lombard
4,English,derived_from,Vandalic
2,English,derived_from,Tok Pisin
5,English,derived_from,Esperanto
8,English,derived_from,Sauraseni Prakrit
7,English,derived_from,Proto-Dravidian
27,English,derived_from,Bulgarian
3,English,derived_from,Shelta
14,English,derived_from,Nepali
3,English,derived_from,Old Marathi
26,English,derived_from,Telugu
7,English,derived_from,Greenlandic
6,English,derived_from,Old Danish
10,English,derived_from,Old Swedish
3,English,derived_from,Macedonian
14,English,derived_from,Venetian
8,English,derived_from,Abenaki
2,English,derived_from,Bikol Central
4,English,derived_from,Hopi
16,English,derived_from,Proto-Turkic
4,English,derived_from,Illyrian
26,English,derived_from,Low German
6,English,derived_from,Sinhalese
1,English,derived_from,Proto-Ugric
1,English,derived_from,Novial
9,English,derived_from,Galibi Carib
41,English,derived_from,Hungarian
14,English,derived_from,Coptic
11,English,derived_from,Pali
1,English,derived_from,Tabasco Chontal
5,English,derived_from,O'odham
11,English,derived_from,Javanese
6,English,derived_from,Old Javanese
1,English,derived_from,Zuni
1,English,derived_from,Chinese Pidgin English
1,English,derived_from,Wathaurong
1,English,derived_from,Middle Armenian
2,English,derived_from,Cajun French
3,English,derived_from,Dharug
3,English,derived_from,Proto-Norse
3,English,derived_from,Moksha
2,English,derived_from,Erzya
5,English,derived_from,Lakota
1,English,derived_from,Zazaki
4,English,derived_from,Proto-Mongolic
4,English,derived_from,Faroese
1,English,derived_from,Kriol
2,English,derived_from,Caddo
8,English,derived_from,Manx
1,English,derived_from,Ineseño
7,English,derived_from,Khoekhoe
1,English,derived_from,Guugu Yimidhirr
3,English,derived_from,Tigrinya
12,English,derived_from,Malagasy
7,English,derived_from,Albanian
41,English,derived_from,Georgian
4,English,derived_from,Old Polish
6,English,derived_from,Old Median
2,English,derived_from,Tundra Nenets
6,English,derived_from,Aleut
20,English,derived_from,Punjabi
1,English,derived_from,Balti
2,English,derived_from,Ge'ez
14,English,derived_from,Kazakh
9,English,derived_from,Choctaw
12,English,derived_from,Breton
3,English,derived_from,Old Catalan
4,English,derived_from,German Low German
1,English,derived_from,Acehnese
7,English,derived_from,Assamese
11,English,derived_from,Alemannic German
7,English,derived_from,Haitian Creole
8,English,derived_from,Narragansett
3,English,derived_from,Mohegan-Pequot
2,English,derived_from,North Frisian
1,English,derived_from,Shawnee
22,English,derived_from,Finnish
3,English,derived_from,Proto-Uralic
7,English,derived_from,Unami
26,English,derived_from,Cornish
1,English,derived_from,Kaurna
4,English,derived_from,Canadian French
8,English,derived_from,Mi'kmaq
3,English,derived_from,Rhine Franconian
9,English,derived_from,Jamaican Creole
1,English,derived_from,Mende
5,English,derived_from,Hausa
1,English,derived_from,Proto-Eastern Polynesian
26,English,derived_from,Norman
3,English,derived_from,Proto-Albanian
6,English,derived_from,Dakota
1,English,derived_from,Plains Apache
6,English,derived_from,Miami
1,English,derived_from,Omaha-Ponca
2,English,derived_from,Ute
1,English,derived_from,Menominee
9,English,derived_from,Munsee
4,English,derived_from,Northern Sami
9,English,derived_from,Amharic
1,English,derived_from,Paraguayan Guaraní
4,English,derived_from,Fon
9,English,derived_from,Lower Sorbian
1,English,derived_from,Ibibio
3,English,derived_from,Proto-Austronesian
4,English,derived_from,Tlingit
2,English,derived_from,Ashokan Prakrit
29,English,derived_from,Galician
2,English,derived_from,Potawatomi
2,English,derived_from,Dhivehi
10,English,derived_from,Old Armenian
2,English,derived_from,Proto-Eastern Malayo-Polynesian
1,English,derived_from,Aragonese
2,English,derived_from,Sardinian
9,English,derived_from,Gamilaraay
3,English,derived_from,Tewa
5,English,derived_from,Old Breton
3,English,derived_from,Old Georgian
2,English,derived_from,Ilocano
6,English,derived_from,Marshallese
1,English,derived_from,Prakrit
1,English,derived_from,Northern Saharan Berber
3,English,derived_from,Nootka
1,English,derived_from,White Hmong
1,English,derived_from,Moore
4,English,derived_from,Fula
2,English,derived_from,Northern Sotho
10,English,derived_from,Tswana
3,English,derived_from,Sundanese
1,English,derived_from,Rohingya
1,English,derived_from,Malecite-Passamaquoddy
20,English,derived_from,Mongolian
2,English,derived_from,Ladino
1,English,derived_from,Livonian
4,English,derived_from,Estonian
1,English,derived_from,Ramandi
1,English,derived_from,Western Apache
1,English,derived_from,Udmurt
7,English,derived_from,Lithuanian
3,English,derived_from,Wintu
7,English,derived_from,Tatar
2,English,derived_from,Tolai
9,English,derived_from,Sicilian
1,English,derived_from,Louisiana Creole French
5,English,derived_from,Middle Mongolian
3,English,derived_from,Bashkir
1,English,derived_from,Mansi
5,English,derived_from,Latvian
3,English,derived_from,Old Chinese
5,English,derived_from,Nyunga
1,English,derived_from,Old Iranian
7,English,derived_from,Mon
3,English,derived_from,Primitive Irish
1,English,derived_from,Acadian French
3,English,derived_from,Norn
3,English,derived_from,Wiradhuri
3,English,derived_from,Celtiberian
3,English,derived_from,Chukchi
2,English,derived_from,Middle Cornish
7,English,derived_from,Manchu
2,English,derived_from,Swabian
1,English,derived_from,Bavarian
3,English,derived_from,Evenki
1,English,derived_from,Tocharian B
1,English,derived_from,Mozarabic
3,English,derived_from,Miskito
1,English,derived_from,Tetum
8,English,derived_from,Neapolitan
2,English,derived_from,Angloromani
10,English,derived_from,Creek
1,English,derived_from,Waray-Waray
2,English,derived_from,Khwe
1,English,derived_from,Nheengatu
1,English,derived_from,Antillean Creole
1,English,derived_from,Shuar
1,English,derived_from,Old Novgorodian
2,English,derived_from,Opata
16,English,derived_from,Avestan
1,English,derived_from,Montana Salish
2,English,derived_from,Late Egyptian
1,English,derived_from,Sabir
7,English,derived_from,Azerbaijani
1,English,derived_from,Camtho
6,English,derived_from,Middle Welsh
4,English,derived_from,Tajik
4,English,derived_from,Dzongkha
6,English,derived_from,Mandinka
2,English,derived_from,Swazi
4,English,derived_from,Sotho
6,English,derived_from,Hokkien
1,English,derived_from,Woiwurrung
8,English,derived_from,Vietnamese
2,English,derived_from,Luxembourgish
