code,lang_name,count,year
enm,Middle English,362,1852
ang,Old English,441,1852
non,Old Norse,90,1852
ar,Arabic,16,1852
la,Latin,418,1852
fro,Old French,297,1852
xno,Anglo-Norman,155,1852
grc,Ancient Greek,74,1852
ONF.,Old Northern French,8,1852
gmh,Middle High German,11,1852
ru,Russian,2,1852
nl,Dutch,9,1852
fr,French,22,1852
sux,Sumerian,1,1852
NL.,New Latin,4,1852
VL.,Vulgar Latin,29,1852
frk,Frankish,21,1852
cmn,Mandarin,1,1852
frm,Middle French,57,1852
de,German,22,1852
nci,Classical Nahuatl,3,1852
ML,Medieval Latin,26,1852
es,Spanish,11,1852
LL,Late Latin,44,1852
oj,Ojibwe,2,1852
en,English,21,1852
it,Italian,10,1852
gd,Scottish Gaelic,6,1852
hy,Armenian,1,1852
see,Seneca,1,1852
cy,Welsh,4,1852
el,Greek,2,1852
goh,Old High German,8,1852
naq,Khoekhoe,1,1852
he,Hebrew,22,1852
sga,Old Irish,10,1852
cho,Choctaw,1,1852
my,Burmese,2,1852
cel-gau,Gaulish,5,1852
pal,Middle Persian,3,1852
dum,Middle Dutch,21,1852
itc-ola,Old Latin,4,1852
pro,Old Occitan,2,1852
nrf,Norman,1,1852
nah,Nahuatl,1,1852
sco,Scots,1,1852
odt,Old Dutch,5,1852
gml,Middle Low German,9,1852
akk,Akkadian,1,1852
arc,Aramaic,3,1852
is,Icelandic,1,1852
tnq,Taíno,3,1852
orv,Old East Slavic,1,1852
Medieval Greek,Byzantine Greek,1,1852
ja,Japanese,2,1852
hbo,Biblical Hebrew,8,1852
ko,Korean,2,1852
et,Estonian,1,1852
peo,Old Persian,3,1852
arw,Arawak,1,1852
Mid.Sc.,Middle Scots,1,1852
yue,Cantonese,2,1852
gsw,Alemannic German,1,1852
ett,Etruscan,3,1852
owl,Old Welsh,1,1852
ga,Irish,8,1852
osx,Old Saxon,1,1852
nan,Min Nan,2,1852
xpr,Parthian,1,1852
hi,Hindi,1,1852
vi,Vietnamese,1,1852
pgl,Primitive Irish,1,1852
sa,Sanskrit,2,1852
os,Ossetian,1,1852
nds,Low German,1,1852
osp,Old Spanish,2,1852
ute,Ute,1,1852
obt,Old Breton,1,1852
hns,Caribbean Hindustani,1,1852
alq,Algonquin,2,1852
lkt,Lakota,1,1852
mia,Miami,1,1852
kw,Cornish,1,1852
gn,Guaraní,1,1852
EL.,Ecclesiastical Latin,1,1852
roa-oit,Old Italian,2,1852
pot,Potawatomi,1,1852
mga,Middle Irish,2,1852
pl,Polish,1,1852
haw,Hawaiian,2,1852
ta,Tamil,1,1852
dsb,Lower Sorbian,1,1852
zh,Chinese,1,1852
eu,Basque,1,1852
roa-opt,Old Portuguese,1,1852
egy,Egyptian,1,1852
dak,Dakota,1,1852
gmq-oda,Old Danish,1,1852
br,Breton,1,1852
wya,Wyandot,1,1852
qu,Quechua,1,1852
ohu,Old Hungarian,1,1852
xpq,Mohegan-Pequot,1,1852
gmq-osw,Old Swedish,1,1852
ryu,Okinawan,1,1852
pt,Portuguese,1,1852
av,Avar,1,1852
xlg,Ancient Ligurian,1,1852
cs,Czech,1,1852
